Origin,Event,Startdate,Enddate,Description
Viet Nam,Vietnam War,1961,1975,The Vietnam War was the second of the Indochina Wars and was officially fought between North Vietnam and the government of South Vietnam.
Viet Nam,Cambodian-Vietnamese War,1977,1989,"The Cambodian-Vietnamese War was an armed conflict between the Socialist Republic of Vietnam and Democratic Kampuchea. The war began with isolated clashes along the land and maritime boundaries of Vietnam and Kampuchea, occasionally involving division-sized military formations."
Viet Nam,Sino-Vietnamese War,1979,1990,The Sino-Vietnamese War was a brief border war fought between the People's Republic of China and the Socialist Republic of Vietnam. China launched the offensive in response to Vietnam's invasion and occupation of Cambodia in 1978 (which ended the rule of the Chinese-backed Khmer Rouge).
Viet Nam,Thai-Laotian Border War,1987,1988,The Thai_Laotian Border War was a short confrontation between Thai and Laotian forces. It involved a dispute over the map made by French surveyors in 1907 to mark the borders between Siam and French Indochina in the southern Luang Prabang Range.
Syrian Arab Rep.,Islamist uprising in Syria,1979,1982,"The Islamist uprising in Syria were a series of revolts and armed insurgency by Sunni Islamists, mainly members of the Muslim Brotherhood. The uprising was aimed against the authority of the secular Ba'ath Party-controlled government of Syria, in what has been called a ""long campaign of terror""."
Syrian Arab Rep.,Syrian Civil War,2011,2016,"The Syrian Civil War is an ongoing multi-sided armed conflict in Syria fought primarily between the government of President Bashar al-Assad, along with its allies, and various forces opposing the government."
Sudan,First Sudanese Civil War,1961,1972,The First Sudanese Civil War was a conflict between the northern and southern Sudan region that demanded representation and more regional autonomy. Half a million people died over the 17 years of war.
Sudan,Second Sudanese Civil War,1983,2005,"The Second Sudanese Civil War was a conflict between the central Sudanese government and the Sudan People's Liberation Army. Although it originated in southern Sudan, the civil war spread to the Nuba mountains and Blue Nile. It lasted for 22 years and is one of the longest civil wars on record. The war resulted in the independence of South Sudan six years after the war ended."
Somalia,Shifta War,1963,1967,The Shifta War was a secessionist conflict in which ethnic Somalis in the Northern Frontier District (NFD) of Kenya (a region that is and has historically been almost exclusively inhabited by ethnic Somalis) attempted to join with their fellow Somalis in a Greater Somalia.
Somalia,Somali Civil War,1991,2016,The Somali Civil War is an ongoing civil war taking place in Somalia. It grew out of resistance to the military junta led by Siad Barre during the 1980s.
Rwanda,Rwandan Civil War,1990,1994,"The Rwandan Civil War was a conflict in the African republic of Rwanda, between the Rwandan Armed Forces (FAR) and the rebel Rwandan Patriotic Front (RPF). The war had its origins in the long-running dispute between the Hutu and Tutsi groups within the Rwandan population."
Rwanda,Eastern Congo Offensive,2009,2010,The 2009 Eastern Congo offensive was a joint Congo-Rwanda military offensive against the Hutu FDLR rebel group descended from those groups that carried out the 1994 Rwanda genocide.
Rwanda,Dongo Rebellion,2009,2010,The Dongo conflict was a short armed conflict centered in the town of Dongo. Fighting started in late October 2009 as a conflict between members of two communities over access to fishing ponds
Myanmar,Internal conflict in Myanmar,1961,2016,The internal conflict in Myanmar refers to a series of ongoing insurgencies within Myanmar that began shortly after the country became independent from the United Kingdom in 1948. The conflict has been labeled as the world's longest running civil war.
Iraq,First Iraqi - Kurdish War,1961,1970,"Aylul revolts was a major event of the Iraqi-Kurdish conflict. The struggle was led by Mustafa Barzani, in an attempt to establish an independent Kurdish state in northern Iraq."
Iraq,Six-Day War,1967,1967,"The Six-Day War was fought between June 5 and 10, 1967 by Israel and the neighboring states of Egypt, Jordan, and Syria. Relations between Israel and its neighbours had never fully normalised following the 1948 Arab-Israeli War."
Iraq,Second Iraqi-Kurdish War,1974,1975,"The Second Kurdish-Iraqi War was the second chapter of the Barzani rebellion, initiated by the collapse of the Kurdish autonomy talks and the consequent Iraqi offensive against rebel KDP troops of Mustafa Barzani during 1974-1975. The war came in the aftermath of the First Iraqi-Kurdish War"
Iraq,Iran-Iraq War,1980,1988,"The Iran-Iraq War was an armed conflict between Iran and Iraq. The war followed a long history of border disputes, and was motivated by fears that the Iranian Revolution in 1979 would inspire insurgency among Iraq's Shi'ite majority, as well as Iraq's desire to replace Iran as the dominant Persian Gulf state."
Iraq,Gulf War,1990,1991,The Gulf War was waged by coalition forces from 35 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait.
Iraq,Iraqi Kurdish Civil War,1995,1996,"The Iraqi Kurdish Civil War was a military conflict that took place between rival Kurdish factions in Iraqi Kurdistan during the mid-1990s, most notably between the Patriotic Union of Kurdistan and the Kurdistan Democratic Party."
Iraq,Iraq War,2003,2011,"The Iraq War also known as the Second Gulf War, was a protracted armed conflict that began in 2003 with the invasion of Iraq by a United States-led coalition that overthrew the government of Saddam Hussein. The conflict continued for much of the next decade as an insurgency emerged to oppose the occupying forces and the post-invasion Iraqi government."
Iraq,Iraqi Civil War,2014,2016,"The Iraqi Civil War is an ongoing armed conflict in the Middle East. In 2014, the Iraqi insurgency escalated into a civil war with the conquest of Fallujah, Mosul, Tikrit and major areas in northern Iraq by the Islamic State of Iraq and the Levant (ISIL, also known as ISIS). This has resulted in the forced resignation of the Prime Minister, Nouri al-Maliki, airstrikes by the United States, Iran, Syria, and at least a dozen other countries, the participation of Iranian troops and military aid provided to Iraq by Russia."
Ethiopia,Ogaden War,1977,1978,"The Ogaden War, also known as the Ethio-Somali War, was a Somali military offensive over the disputed Ethiopian region Ogaden starting with the Somali's invasion of Ethiopia."
Ethiopia,Ethiopian - Somali Border War,1982,1983,"The Ethiopian-Somali Border War occurred when the Ethiopian military, supported by hundreds of SSDF rebels invaded central Somalia and captured several towns. The attack was repulsed by the Somali government, the fighting became a catalyst for U.S. military assistance in Somalia."
Ethiopia,Ethiopian Civil War,1974,1991,"The Ethiopian Civil War began when the Marxist Derg staged a coup against Emperor Haile Selassie. The civil war lasted until the Ethiopian People's Revolutionary Democratic Front (EPRDF), a coalition of rebel groups, overthrew the government in 1991. The war left at least 1.4 million dead."
Dem. Rep. of the Congo,Congo Crisis,1961,1966,The Congo Crisis (French: Crise congolaise) was a period of political upheaval and conflict in the Republic of the Congo (today the Democratic Republic of the Congo)[c] between 1960 and 1965. It began almost immediately after the Congo became independent from Belgium
Dem. Rep. of the Congo,Shaba I & II,1977,1978,"The conflict began when the Front for the National Liberation of the Congo (FNLC), a group of about 2,000 Katangan Congolese soldiers  crossed the border into Shaba from Angola"
Dem. Rep. of the Congo,First Congo War,1996,1997,The First Congo War was a foreign invasion of Zaire led by Rwanda that replaced President Mobutu with the rebel leader Laurent Kabila. Destabilization in eastern Zaire resulting from the Rwandan Genocide was the final factor that caused numerous internal and external factors to align against the corrupt and inept government.
Dem. Rep. of the Congo,Second Congo War,1998,2003,"The war officially ended in July 2003, when the Transitional Government of the Democratic Republic of the Congo took power. Although a peace agreement was signed in 2002, violence continued in many regions of the country, especially in the east. Hostilities have continued since the ongoing Lord's Resistance Army insurgency, and the Kivu and Ituri conflicts."
Dem. Rep. of the Congo,Kivu Conflict,2004,2009,The Kivu conflict began as an armed conflict between the military of the Democratic Republic of the Congo (FARDC) and the Hutu Power group Democratic Forces for the Liberation of Rwanda (FDLR).
Dem. Rep. of the Congo,Rebellions & Insurgencies,2009,2016,"Congo saw several rebellions including: M23 Rebellion, Dongo Rebellion, LRA Insurgency, Katanga Insurgency, ADF Insurgency resulting in death of thousands of people."
Burundi,Burundian Civil War,1993,2005,"The Burundian Civil War was the result of long standing ethnic divisions between the Hutu and the Tutsi ethnic groups in Burundi. The conflict began following the first multi-party elections in the country since independence from Belgium in 1962. The estimated death toll stands at 300,000 killed."
Afghanistan,Soviet war in Afghanistan,1979,1989,"The Soviet-Afghan War lasted over nine years. Mujahideen fought against the Soviet Army and Afghanistan government, mostly in the country's rural countryside. The mujahideen groups were backed by the United States and Pakistan, making it a Cold War proxy war. Between 562,000 and 2,000,000 civilians were killed and millions of Afghans fled the country as refugees, mostly to Pakistan and Iran."
Afghanistan,Civil war in Afghanistan,1989,2001,"The Afghan Civil War began after the Soviet Union withdrew from Afghanistan, leaving the Afghan communist government to fend for itself against the Mujahideen."
Afghanistan,War in Afghanistan,2001,2014,The War in Afghanistan followed the 2001 US invasion of Afghanistan. The war's public aims were to dismantle al-Qaeda and to deny it a safe base of operations in Afghanistan by removing the Taliban from power.
